,reviews
815,"✅ Trip Verified | Yet again, American Airlines, delivers on their abhorrent customer service. I haven’t flown with them in over 6 years due to constant issues with flights (delays, last minute changes or cancellations - usually due to their error). I recently decided to fly with them due to someone else picking up the tab and they re-affirmed why I stopped flying with them. They cancelled my red eye via text last minute. I had to call and fight to get them to change it to one with Delta that would work with my schedule (4 hours longer). When I asked for any customer service, I was told I chose this flight so they aren’t liable. They told me that all they’re responsible for is getting me to my destination, but apparently they get to choose the time and flight for me ultimately."
816,"✅ Trip Verified | As I was landing in Phoenix to catch the final Let of my return home, I received a text that my flight from Phoenix to Orange County (Santa Ana) was cancelled. There were no other options to fly into Southern California. American did the right thing by providing a hotel. But their system failed to provide a transportation voucher to the hotel (no airport transportation offered by the hotel according to the AA information). The real insult was that I landed at 7.30pm local time. I can’t fly out till tomorrow morning. I was speaking with an AA agent. AA gave me a $12 (twelve dollar) voucher for Dinner or Breakfast! Are you serious? What airport or hotel offers a nutritious, filling meal for $12 (including tax and tip)? I had the agent contact the customer sat depart three times during our conversation. AA refused to give more than $12. I am a Platinum For Life AA customer (over 2 million lifetime miles) and this is how they thank me for all the business I have given them? If Airlines show no loyalty, how can they expect any from customers? I am beyond disappointed."
817,"Not Verified | Absolute worst airline experience, I never thought it could be so bad. They delayed several times and cancelled my connecting flight. Set me up with a hotel, I wasn’t able to have my checked baggage, but the agent at customer service assured me that I needed to get a ticket in the AM for the next flight to Denver. I’m the morning I received 3 texts delaying my flight to Denver. When I showed up for the scheduled flight the lady at customer service said that the flight I was supposed to take already took off in the morning, when I showed her the texts I received she said she didn’t know why I got those. She was able to get me a flight later that day, which was delayed once again. Then at the gate they said that the flight was full so I had to check in my carry on bag, I was already down another from the previous flight."
818,"✅ Trip Verified | Pay for first class ticket, delay after delay. Go to the rest room, they board and close the gate ahead of what was said, they left several people standing there clueless for us to go figure it out. I hate this airline, will never fly with them again."
819,"✅ Trip Verified | American Airlines are the worst, my first flight was delayed over 2 hours, as a result I missed my connection flight. And they don’t have another flight until tomorrow morning at 8.50am. I am so annoyed and will never use them again. When complained to customer service, they look at you like you’re crazy. Worst customer service."
820,"✅ Trip Verified |  This review isn't so much about American Airlines as it is about a flight attendant. As we all know, since 911, and more recently Covid, traveling has changed in countless ways. However, one flight attendant, Jan, brought back the joy of flying on my flight from Portland to Dallas. From her greeting upon boarding & throughout the flight, she was professional, kind, personable, attentive to the souls on board, and always with a beautiful smile. It felt as though the years had slipped away, and we were once again in a time when our world had not been forever changed. Thank you, Jan. And thank you American Airlines for having such an amazing person working for you!! The flight was 2655 on Wednesday, January 25th - I was seated in 21C."
821,Not Verified |  They closed the cabin door and didn’t take off till an hour later. They directed me to another flight and they also didn’t take off till an hour later. They could have easily let me get on the first flight. I had to wait three hours for the second flight to take off. Horrible.
822,"Not Verified |  As of right now, I am sitting on this plane. We have a connecting flight in Charlotte to Miami, we have been sitting here on this flight for 30-45 minutes with little to no movement. After rushing us onto the flight and telling us we were going to be leaving shortly, we are still here. We are not being told what is going on or how much longer this will be taking place or how long this delay is becoming. It’s terrible. The pilot even acknowledged that we had a connecting flight they didn’t want us to miss. Too little, too late. Will not fly American again."
823,"Not Verified |  We paid for a first class ticket and had chosen our seats when booking since we were traveling with a baby. They changed our seats the day before our flight without us knowing so that we were separated and then when our flight was delayed, we got bumped to coach with no refund."
824,"Not Verified |  Due to our flight being late we missed our connecting flight. There were no more flights for 3 days. We had to sleep in the airport overnight. We went standby the next morning and were lucky to get on the flight. However, the gate person upgraded 4 people to first class and gave our first class seats to them and we had to sit in coach with no food. We are AA members and fly first class. We paid for first class and got coach. We have called, and submitted refund request three times and still have not heard anything. We should not have to pay the first class fees given we were not provided the service. We are very dissatisfied."
825,"Not Verified |  Third class airline. My Boarding card showed Gate no. 27, When I reached, I saw no one, Then I asked a crew member they sent me to D4 Terminal, When I reached there, they again sent me to D11 gate and said because of the system they are changing the gate. When I reached, they closed the gate and the flight was gone by that time. I had to catch another flight. I went to American airline counter, The lady was so rude on D Terminal. When I requested for help she stopped me in a conversation and said ""if you use one more word I am not going to help you, then said why didn't you choose another airline and finally she totally damaged my whole route. I was in Miami with no help, No hotels no food they gave me. Then Qatar airways helped me and said American airlines cancelled my whole route when they were reissuing my ticket. I had so much trouble that I never faced. I have travelled many countries with different airlines. I think American Airlines crews learn from any Asian countries airlines how to deal with customer, behavior and hospitability. Never forget, We pay for the service, not granted. "
826,"✅ Trip Verified |  The flight was delayed, overcrowded and overpriced ($700 for a domestic flight with one connection, booked several months in advance of the trip). My checked bag was broken when I retrieved it from the baggage carousel at O'Hare, One wheel was snapped off and the hard shell was broken so that the foam underneath shows through and it's unusable. The baggage helpdesk filed a report and gave me a receipt and told me to wait for the claim to be processed. I waited and then tried to follow up with a claim submission online but the American Airlines site isn't working. When I tried to fill in a claim amount, the form is stuck on '0.00'. American Airlines also expects a receipt for the purchase of my suitcase (who keeps those)? The claim should be for replacement not for original purchase. Then I tried calling customer service and never got through. I finally talked to customer service in January '23 was told that the 30 day limit for claims has expired. I did as advised and think that American Airlines make the claims process so impossible that they are not accountable for any damage. Avoid this airline if you can."
827,"✅ Trip Verified |  The customer service we experienced during this flight was so awful, that I will pay double to fly a different airline in the future. Our flight was delayed several hours, then canceled, then rescheduled a day later. Connecting flights were missed with the customer help people emailing us wrong information for our rebooked flights. This took over an hour on the phone at 02:00. We found out we were not actually booked on our next rebooked connecting flight when we got to the gate to board. We were not given updates by text or email, bounced around between American and their subsidiaries, told we couldn’t be helped, sent all over the airport to be told there was nothing they could do. No one cares, with an employee telling us American Airlines is the lowest paying airline. AA doesn’t care, your employees don’t care. I regret giving your company thousands of dollars for the worst service I’ve ever experienced and losing a couple precious days of our trip. You should be embarrassed by this representation of your company. The worst thing about this is what we’ve lost, time, which is irreplaceable."
828,"✅ Trip Verified | I've had roughly 60+ flights a year for the past 10 years for work. I've learned from the past to avoid American. They delay more than any other airline to the point it is beyond obnoxious and inconvenient. I will opt for longer trips, more expensive trips, and whatever else to avoid. From what I've heard, they have poor management which aggravates employees. They then take it put on us by creating delays by using any little rule they can find to make life worse for us. Recently I've flown AA from SHV to SAT and ONT to MAF. The first was canceled. The second was delayed to the point I missed my connection and have to find a hotel. Avoid them at absolutely all costs. Hopefully they go bankrupt so someone worth something can pick them up out of insolvency."
829,"✅ Trip Verified |  When preparing myself for arrival the flight attendant told me my seat back needed to go up. I informed her that I had pressed the button a few times and the seat back wasn’t moving. Then she watched as I pressed it again, still with no movement. She did nothing to help me but give me the “death glare,” as my surrounding seat group named it. Then the couple sitting behind me pushed the back of my chair up but it still wasn’t moving. Still no help from the flight attendant, just that rude annoyed face. Finally the seat went up, she just walked away annoyed. If you don’t like helping people then don’t work in a customer service industry. It is so unpleasant to be treated poorly, when you are actively working to help the situation."
830,"Not Verified |  
Paid $4200 for first class lie flat seats on flights to Hawaii. On both outgoing and incoming flights my first class seat was broken. On return flight there were a total of 3 seats that were broken. We were not notified, not given a refund or anything. Staff was extremely rude as we were told 'oh well', 'I'm sure someone in coach would be happy to take your seat' and that 'you were supposed to be notified'. We filed a complaint with AA and were only offered $150 credit on one flight and $400 credit for the other. The tickets cost $4200! Clearly AA is not maintaining their fleet and it shows. A gate agent told us that they just keep flying the planes back and forth with them not fixed. Will never fly first class on AA again."
831,✅ Trip Verified |  I will never fly with American Airlines again. They closed boarding early and would not let me on the plane. They told me that 200 other people heard over the PA that they were closing boarding early and that I should have been paying attention. They booked me on the next flight but refused to print out a boarding pass for me so I had to go back to ticketing and through TSA again. I was booked as an economy passenger despite paying for a first class ticket and the flight had first class seats available. Horrible customer service and you can’t rely on their policies.
832,"✅ Trip Verified |  How not to be welcomed on to the plane by a hostess. Boarded flight from Maui to LA to be greeted by the air hostess say to both my sister and I ‘have you got a blanket to cover up?’, which we replied ‘No’, as apparently our sunburn was ‘going to hurt with the cold air conditioning there was on the plane’. This left both of us feeling very unwelcomed and feeling very worthless, despite us both being a priority and member of the one world frequent flyer programme - also thinking who is she to judge whether I’ve got a sunburn or not, when she doesn’t even know me. Clearly they have no idea how to treat their customers, let alone their frequent flyer members. In all my time of flying, I have never been spoken to in a very rude & personal way. "
833,"✅ Trip Verified |  Don't fly with America Airlines. Ordered tickets with their agent on phone to make sure that my parents (81 with Parkinson's and 85 with cancer) would have seats that could lay down for the 10 hour flight. My husband and I in main cabin. Because my parents don't know how to you the internet and check in online. My mom with Parkinson's was bumped back. My father took her seat, so he got no rest. My mom needed someone to help her and no one was there.  Customer service is well that is our policy. Sorry you had a bad trip. No ticket with AA guarantees your seat. They can change or kick you off at any time."
834,"✅ Trip Verified |  Very smooth flight, left and arrived on time. Staff makes a more professional impression than United. On board entertainment is pretty limited, but works well."
835,✅ Trip Verified |  Flight 533 was supposed to take off at 6.56pm however it has now been delayed to 11.30pm because there is no pilot. Not only is this unacceptable but the Supervisor and his co-worker took my bag with my asthma medication and put it under the plane and refused to give it back to me stating it was too late.
836,Not Verified |  Paid 30 bucks to check my suitcase. Not only was it an entire day late due to the fact they never shipped it to my house like they promised. So I had to drive 45 minutes in the rain to get my suitcase. When I arrived I discovered that two of the four wheels have been smashed. Not just the wheels themselves but they’ve been smashed through the plastic shell of my suitcase. So now I have to buy a new suitcase. Deplorable beyond belief. Who knew that it only costs 30 bucks for America Airlines to destroy your baggage. I filed a complaint but they chose to ignore it.
837,"Not Verified | Will never fly American Airlines again. Ground staff at Nashville’s check in counter were so rude, made snarky comments and were blatantly disrespectful. My Southwest flight was cancelled and only AA had availability for the 1st. I’d rent a car and drive before flying American Airlines again. Do better American Airlines. Where do you find these people?"
838,"✅ Trip Verified | No delays with outbound flight to CUN; however, due to the winter storm front that resulted in flight cancellations/delays, are inbound flight to DFW was delayed by 6 1/2 hours. No fault of the airline. Every other air carrier was affected. To American Airlines credit, flash notifications via SMS kept us updated about the delays. Outbound flight was on a B777-200ER premium economy seat. Very comfortable plane with 2-4-2 seating. In bound flight was on 787-9 Dreamliner. Very comfortable premium economy seating. Kudos to the pilots and flight crew. The pilots on both outbound/inbound flights kept us apprised on a regular basis of when we would be out of turbulence caused by a major weather front that brought single digit bone chilling temperatures to North Texas. ICE worked just fine. Started one movie and finished same on inbound flight. Food and beverage is the typical service on domestic flights (snacks and soft drinks)."
839,"✅ Trip Verified | Flew to Boston from DFW (roundtrip) for a wedding in early December. There were no delays on either outbound or inbound flight. The pilots apprised the passengers of any potential delays. Both flights were smooth with very little turbulence encountered. Kudos to American Airlines. Flight crew was very polite and friendly. Outbound flight on A321 Premium Economy seat. Enough legroom for a comfortable flight. Bathrooms are smaller than on the 737-800. Inbound flight to DFW was on 737-800. The premium economy seat had plenty of legroom. Service is typical (biscotti, snack and soft drinks) of all domestic flights. No issues on either flight. ICE worked just fine. I do not understand the negativity expressed by other passengers. American does a pretty good job of getting you were you want on their domestic flights."
840,"✅ Trip Verified | Distance between gates is long without mass transit or enough moving sidewalks. Year-round, you have to exit the building, in all weather scenarios, and board a shuttle bus to terminals. This might not be so bad if the shuttle stopped at each terminal, but it does not, so wherever you need to go, there us still walking involved, sometimes back to the terminal you need but just drove past. When landing, American Airlines said they were holding connecting flights, but mine was gone (and left early, at that) when I reached the gate after having to wait for and then hop the shuttle bus. Then, when I wanted to go back, from terminal F to terminal B to get a hotel room, I was told the shuttle was closed for the night...it was not yet 9 pm. When I asked an AA manager for a ride on a cart from terminal F to terminal B, he denied my request. This is unacceptable for any airport to treat passengers in this manner, but really not a good look for the city of brotherly love! I was told that I would get a discount on the hotel, but Marriott (attached to the hotel at terminal B) did not honor it. I was told by airport personnel that there was a shuttle to the hotel, but when I called to make a reservation, I was told no shuttle. There is a shuttle, until 11 pm, but based on that info and information from another airport information clerk who said no hotel shuttle as well, I had to walk from terminal F to terminal B, not a short distance for a senior citizen and one who had already walked and shuttled several directions and terminals. For the most part, no one who worked in the airport or for AA seemed to care one iota! Also, I had paid for Priority boarding, but did not get this, flight was re-booked. Then, when arrived in Manchester, NH, no one in baggage office to get my bag from night before, and AA desk personnel told me to walk back and stand by the door, he'd be back soon. No one at AA in Manchester, NH seemed to care, either. Terrible experience overall!"
841,"Not Verified | We flew to Miami and then Panama on American Airlines, I usually travel with United and have travel status with United. I remembered why I do not like flying with American. The staff was very unfriendly and unprofessional at the airports in Savannah and Miami on the return. The flight in Savannah was delayed two hours, no fault of anyone there but the girl at the counter sat around on her phone and she could have had people put tags on their bags because it was a full small plane and instead she caused us to sit for an extra 45 min and the airline stewardess were annoyed at her and yelling at her and they all were arguing. The stewardess were absolutely right, she caused us to just barely make out flight to Panama which was the only one that day but unfortunately our bags did not make it. SO, we ended up stuck in Panama without any bags on Christmas eve. No clothes or toiletries and we could not leave to portobello like our travel plans called for. The next day, Christmas, I spent hours at the airport trying to find someone from AA to get me my bags that had come in on the flight. Literally one person working for the entire airlines. Unless it's the only airline going there, I will never fly with them again."
842,"✅ Trip Verified | Travelled with family: 2 adults and 3 children under 6 yrs old. Check in was ok, let us board via priority line as we had small kids. Airplane seating, etc was ok, main issue is with the cabin staff. Not very professional. They are very abrupt, condescending and do not really make an effort to help you. I will avoid this airline at all costs in the future."
843,"✅ Trip Verified | Today the ticket counter was fully staffed and quickly moved people along with their check-in and luggage. While there is plenty this airline has done poorly, this morning went smooth. Thank you."
844,"✅ Trip Verified | My initial flight was delayed and when I expressed concern, both at the gate and to the flight attendants, I got the brush off. “You’ll make it” they said. “Just run” they said. My connecting flight left early and they were zero help getting me to my final destination. They got me 3.5 hours away and had no suggestions or reimbursement for the rest of the miles. Other airlines I have been on would have prioritized my deplaning, had assistance to get me to the gate (across the entire airport, of course!) and maybe even held the plane for 2 minutes. But not American. No. Unbelievable."
845,"Not Verified | Cost me a hotel and a rental car that I had to get and drive 600 miles after you FAILED to get us to our connecting flight and then had NO SOLUTION. My Phx-Dallas flight was delayed three hours, causing a missed connecting flight and I was informed that there were no other flights that I could take home, and none the next day either. We missed our connecting flight because of this - If you insist on delaying flights by THREE HOURS, at least have some kind of solution for the customers. That's what professionals would do. I give credit to the aircrew, although they were late, they almost got us to Dallas in time to connect with the next flight, but then guess what? The airport ground crew decided they had no idea how to set up the Gate for passenger de-planing. Nice job!! Sat there for 45 minutes waiting on these staff who can't even execute the basics. The basics! So we can't even reasonably expect to de-plane the aircraft in less than 30 minutes anymore, and that is PATHETIC. Again, the aircrew did their part - they flew the plane - but still, three hours late, and the ground crew - complete FAIL. Airline industry, get your act together! Or you can count on losing more customers than you ever thought possible."
846,"✅ Trip Verified |  It’s really sad to be prejudged. I get complimentary upgrades because I fly quite frequently with American Airlines. I’m standing in the priority lane and an American airline staff member told me I needed to get out of the line and go where they are scanning in the bags, this is for first class. I told her I was first class. She should’ve checked the people in front of me, who actually didn’t belong in the line. But I’m going to assume it’s because I’m black and they were white."
847,"✅ Trip Verified |  American Airline does not take accountability for the flight delays, rebooking and cancellations. I was rebooked for the next day due to a problem with the airline. No weather issues. I went to the rebooking center to find out what happened, and they stated their system automatically detects when they don't think you will make the connecting flight and rebook you. I advised the agent that I will need to make it home today. She stated if I booked with another airline, American should refund me for the return flight because it was not due to weather and due to American Airlines issue. When contacting American airline they are trying everything in their power to not give me my refund because they say I didn't call them the same day. I contacted them and I was advised to contact my booking agency (booking.com). So, I contacted my booking agency on 12/21/22 (the same day) advising them that I was being rebooked and needed to receive a refund. I reached back out to booking.com today 12/27/22 because I hadn't heard anything. Booking.com advised that I should call American and ask them to give booking.com the control of the ticket in order to refund me. When I called American Airlines, the agent basically told me to send an email to AA.com because it was nothing she could do. I can't believe they are taking no accountability for their wrongdoing. To make matters worse I have another booking with them for Jan 13th & 15th. After that, I will never fly American again. They are worse than Southwest. It's worth paying the extra to fly Delta Airline."
848,✅ Trip Verified |  This has been the worst flight ever. The plane broke down on the runway. The plane was returned to the gate . Flight were postponed 4 times after that. I had to sit in the airport for 9 hours.
849,"Not Verified |  The day before Thanksgiving, my grandson and I flew on American Airlines from Dallas, TX to Memphis, TN. Prior to boarding at the gate, our 1 piece of luggage was taken from us, and we were told there was no more room for carry on. Upon arriving in Memphis, I received a text from AA, stating that the luggage did not arrive with us. I talked to an AA customer service rep in the baggage claim area and was told that the luggage would arrive on Thanksgiving. The luggage arrived late on Thanksgiving as promised. When I opened my luggage, everything was soaked as if the luggage had been left out on the runway all night in the Dallas rain. I was only in Memphis for a couple of days to spend time with family, and I spent most of my time washing clothes so that we would have something clean to wear. When I arrived at the Dallas airport, I reported the incident to an AA CSR, and she printed out several forms for me to fill out and mail in. I tried to make a claim online, but the site was not user friendly and continue to ask for a claim number. I would recommend to anyone who has problems with missing or damage items in your luggage to file a claim within 24 hours, if not you may receive a generic letter asking you to file a claim with your travel insurance and that American Airlines will look forward to you flying with them again."
850,"Not Verified |  Day 1 Flight Cancelled, lost out on VRBO and 1 day in Mexico. Day 2. missed out on Mexico because day 2 was a nightmare and missed our connecting flight. Day 2 Flight delayed from 7:00 AM--6:00 PM. Had to install a new captain's chair and had to read a 300 page manual.  Had us board the plane for 2 hours and then deplane as the de-icer was not working. Get back on the plane at 6:00 PM and arrive at Dallas at 8:30 and lose our luggage. Talked to American Airline Rep and she PROMISED our luggage would be in Cozumel. Not the case Day 3--Flight gets delayed again and moves to a new flight. Supposed to land in Dallas on time and make a connecting flight. No chance in hell with this airline. Get 20 minutes from Dallas and the captain says that he lost our navigation system and have to land in Tulsa, OK. Keep us on the plane for more than 4 hours. Wait for another plane and get off the plane outside and board another flight to Dallas. Arrive in Dallas at 11:45 PM and miss out on another flight. Take a taxi and book a room. After booking a room American Airlines sends us a text with hotel vouchers and the hotel won't take the voucher because we already paid. Day 4 Flight gets delayed and finally get back home. "
851,"Not Verified |  Worst experience ever, terrible customer service flight delayed more than 9+ hours and they keep postponing departure. No clear reason on why all this is happening everyone frustrated, seat was not clean when I boarded and luggage not onboard captain is saying another 45 min extra to finish. Seriously how can they be this bad? Please don’t fly with AA, fly with someone else!"
852,"✅ Trip Verified |  It is impossible to book baggage on this route until you check in, never ever had this problem with any other airline. I found the baggage information online to be quite misleading and confusing. I approached ground staff the evening before my flight as I was staying at the hotel located in Miami airport, they were rude and unhelpful. They were not interested in helping me. The following day the check in agent was helpful and did a good job in assisting me. Ultimately I won’t fly AA again as there are far better airlines out there."
853,"✅ Trip Verified | I have flown with American Airlines numerous times over the years. I am an Aviator Mastercard member and AA Advantage member but my experience with American Airlines over the past four days has completely changed my opinion of them. My flight home for the holidays was cancelled and they refused to return my baggage to me when I requested it immediately. I waited for my bags for two hours the night it was cancelled then was told to return the next morning. I went the next morning and requested my bag to be pulled, waited 6 hours and still no bag. Was told I’d be called once they found it. Heard nothing for three days then after calling around, I found out today my bag was sent to Omaha even though I never flew. Now I’m having to figure out how to get my baggage home to me without being lost again. This experience completely destroyed our holiday plans and the entire weekend. Throughout this whole experience it was impossible to get ANYONE from American to assist me in finding my baggage. The AA workers at the Charlotte baggage claim office were confrontational, unfriendly, insensitive and caused total chaos among all of the worried travelers. There were several other travelers in line beside me needing vital medications from their luggage and the staff showed no remorse, offering zero effort in trying to assist them. These people were told that this should be a “lesson” not to put medication in your checked bag!! I am so disappointed in the lack of assistance, communication and service that I had grown to expect from American Airlines. I don’t say this to be rude, I share this so that things can be addressed and changed so others don’t experience this in the future. Thank you."
854,"Not Verified |  Booked a flight for a daughters wedding. Had a medical emergency. Was in emergency hospital for 7 hours. Doctor recommended no travel. (Copy of letter was sent to AA at their request). AA refused to refund flight. Competition for flight down was on Alaska Airlines. They made a refund immediately. The cost of the ticket for AA was also about 60% more than Alaska Airlines. Had to book on AA for 1/2 the trip due to scheduling. Highly recommend Alaska Airlines, and NOT American Airlines. I am 82 years old"
855,"✅ Trip Verified |  My flight was cancelled because their de-icing machine was broken. Two days later the flight was again cancelled because they only have one deicing machine. This is a northern city, it is unbelievable they only have a single deicing machine and they cannot fix it in two days."
856,"✅ Trip Verified |  I flew to Utah on December 23rd. It is now December 26th and my luggage just arrived in Utah. I have tried contacting the airline several times and could not speak to a real person. So I went on the app to chat with an airline employee and got a message that said that the wait to chat was over 2 hours. Well, over 12 hours later I got a notification on my phone that it was almost my turn and I finally got an update on my luggage. And though the airline offered to deliver the bag, the wait time for delivery was at least a week. So I have to drive an hour back to the airport to get my bag. I submitted receipts for the clothes I had to buy and I will be shocked if they actually reimburse me. Unreal."
857,"Not Verified | Overall, four very disappointing flights with American Airlines in First Class. We few MIA -LAX-HNL-LAX-MIA. All were disappointing. Our biggest complaint were the so called First Class seats, frankly I have sat in better and more comfortable seats on an economy flight in Asia. Little legroom, no footrest and a very minimal recline. I am 6' 4 ' and it was impossible to get comfortable and certainly not possible to sleep. We were not allowed to use any lounge despite being in First Class for all legs unless we paid $59.00 for a day pass. The lounges were nothing special and in LAX the ground personnel took pleasure in telling us that the showers were not available to passengers. Boarding all airports was a joke. When the flights are called all passengers surge forward and all the ground staff do is just accept the boarding passes, no control or finesse whatsoever. On board meals were so, so. Nothing exciting and certainly not served with any enthusiasm or pleasure. Only one round of drinks offered on a five hour flight, fortunately we had taken our own water on board. I would urge any future potential American passenger to be very careful and check what type of aircraft will be used, the A321 is a nice aircraft but the AA First Class cabin should be avoided, its just not worth the money. We will not fly American again. Overall an awful experience."
858,"✅ Trip Verified |  This was my third time flying American Airlines this month and my first time flying in a business class cabin since they reinstated full service and my experience was excellent. Since we had a short taxi, the pre-departure beverage was not offered. However, once we got up in the air it was quickly served with warm mix nuts. For dinner we had a delicious beef dinner with macaroni and cheese, a mixed salad, a small side shrimp aperitive, warm rolls, and a little ice cream tub for dessert. If you watch a small commercial, you’re even got 20 minutes of free, high-speed Internet, which was enough for me to send a few messages. The airplane was only six years old and very well-kept. I really don’t understand what all the negative comments are about, three times on AmericanAirlines in one month, and I have had very positive experiences. I will fly them again soon."
859,"Not Verified | $30 for checked bag, $3 for curbside service, $100 dollars for bag 12 pounds over. And that's one way. What a racket. Going back to Jetblue."
860,"✅ Trip Verified |  I purchased my own $3000 battery powered wheelchair so I don’t have to use the airlines (& other places) wheelchairs. My chair is FAA approved but yet I was detained for multiple hours, left in cue or the gangway while they made mechanical repairs to the plane. I had no access to food, water or a bathroom. I was forced out of my chair because they said my battery was not safe to fly. I was told I might not be allowed to board if I did not remove the battery from my chair. When I responded that I’ve never had to remove it (hence, the fact that it’s affixed to the frame with screws & the cord is all wrapped around the frame with flex ties), that I was not physically capable of removing along with the lack of knowledge to comply with their request. A man said “if you keep refusing to cooperate, we are going to deny you boarding”. I was not refusing, I simply was telling the truth & pointing out the obvious. I was never disrespectful to any staff. I am a disabled veteran diagnosed with PTSD/MST & chronic pain from an injury to my knees while serving in support of Desert Storm. I also have allergies & asthma. Asthma that is usually triggered by animals, flowers or pollen in the air. After I was allowed to board, I saw 7 cats & dogs pass by me. My eyes were already burning just from that. So I inquired what my rights were regarding those animals & my allergies because I could tell it was going to be an issue. After 14 days on a ship, all we wanted to do was go home & I had done a miraculous job of orchestrating everything so there would be no hold up anywhere. An AA employee got down face level with me & whispered in my ear that if I kept pursuing the allergy thing & insisting that I might need aid (ie oxygen) if I have an asthma attack from the animals & my rescue inhaler does not do the trick, that they will remove me from the flight. She said I suggest you take another mask from them & put it over your mask, turn your air vent on & or you won’t be flying. AA turned a 9 hour day into 27 hours, rebooked me to be stuck overnight in an airport, taking a whole other day to get to my destination & offered me no accommodation, reimbursement for or even a food voucher. Other people on the flight got vouchers but not me. I checked in with 3 bags & I’m 4 days after check in to the original nightmare flight & I’m still missing a bag with all of our brand new clothes in it.  Can’t get anybody on the phone to tell me where it is or when it might be here.  I do not recommend flying this airline."
861,Not Verified |  Both of our planes to Dallas and from Dallas had an hour long delay! Our morning flight from Cancun at 7 got delayed. How is the first flights of the morning encountering long delays? American Airlines sucks and needs to get more airplanes if all of them are going to need maintenance everyday. Tired of waiting for hours at the airport and missing our connecting flights all because American Airlines is unprepared!
862,"Not Verified |  We booked our flight 17 weeks prior to our vacation in Curaçao (lay over in Miami). The flight on American Airlines had a 6am departure. It was later changed to 7:05am … which gave us a 87 minute window to get to our flight to next flight at gate D40. We did not depart from ORD until 7:56. There was no explanation except that the food truck was unloading their goods. We arrived at gate D4 with less than twenty five minutes to make our gate. We were at back of the plane full of passengers. An announcement was made by flight stewards that those not pressed to make a connection should allow those that did have a connection be given deplaning priority. That was the last of any help by the apathetic airline staff. They just stood around making small talk. First, there was no weather related issue to delay departure. Plane was not arriving from anywhere else. We were sited almost at the very rear of the plane when itinerary was clear that we had a connection gate a distance away. My wife and I ran (even with a recent need replacement for my 76 year old knee). The airline staff was rude, apathetic, and lazy. There was little assistance. It was like “ we have your money, you are on your own). The return flight was as bad with the agent giving us the wrong boarding passes, causing immigration to detain us. Then our arrival at Miami-Dade was chaos. With immigration, baggage exchange, two sky trains and a mile and a half travel, we just made our flight. One, I will avoid AA. Two, I will avoid Miami Dade airport. Three, there appears to be a real lack of any customer service or consideration by American Airlines."
863,✅ Trip Verified |  If you want your flight delayed or canceled book American Airlines. This was an absolutely terrible experience. My flight was delayed for over an hour. Tons of peoples flights canceled all in time for Christmas.
864,"✅ Trip Verified | The worst trip my daughter had to experience from this airline. They stopped the pilots from flying due to them almost going over there flying hours, the worst part is they put the pilot in a nice hotel and put there customers in a nasty run down hotel (shame on American Airlines. A billion dollars company treating there customers this way especially when they had to cancel and accommodate them. My daughter couldn’t sleep and cried all night. Will not fly with American Airlines again. "
865,"Not Verified |  It’s difficult to describe how bad American Airlines is. Utter chaos Dec 19 2022. Flight delayed with the famous rolling thirty minute delays. Changed to another flight. Plane taken out of set due to mechanical issues. Wait for new plane with zero communication from gate staff. “You know as much as we do. You’ll know when the new plane is coming when we do.”. Again, rolling delays. Original flight that was delayed ended up being delayed four times. Just awful gate staff. No help from AA customer service. You cannot count on anything they tell you. . Finally get to Cancun and missed our shuttle. Spent $70 for a taxi. Again. Difficult to describe how poorly this airline is run."
866,"Not Verified | We flew round trip from Tennessee to Texas, having a layover in Charlotte. We were headed to my step mother’s funeral. EVERY SINGLE FLIGHT WAS OVER AN HOUR LATE. We arrived at Charlotte on the way to Texas. What should’ve been a 2.5 hr layover ended up being 3.5 hr layover. We arrived to Texas late and had to stay two hours after we landed to hunt our luggage that was left in Charlotte. It took forever for us to get a placement on our luggage and when we would receive it. A lady in customer service over the phone assisted us quickly but everyone before her played the blame game and said there was little to be done. By the time we tracked the LATE plane carrying our luggage, WE MISSED THE FUNERAL. On the way back to Tennessee, our plane was 2 hr late which made us miss our final plane that was scheduled to land at 3:55pm. We now are waiting to board a flight that’s scheduled to board at 10:25pm. Each flight should’ve been no more than 4/5 hr total but ended up being an all day travel. I WILL NEVER FLY WITH THEM EVER AGAIN! I heard this has happened several times prior; but against my better judgement, I wanted to give them a try. Not to mention, they double charged us for a flight that we’ve not received credit back for; and the people working boarding desk are extremely rude. The only reason I’m giving them a 1 star is because it ring allow me to rate them at a zero."
867,"✅ Trip Verified | This is the absolute worst airline, please save your money and book with literally anyone else. I booked a flight with American to attend my best friends college graduation. Departing flight was delayed 12 hours due to the plane being out of service with no replacement. On my returning flight, we were told the plane was on time, then delayed, then on time. After all passengers were boarded and the gate was closed, we sat for 30 minutes, only to be told that our plane would not be leaving, we were to de-plane, and that we were not leaving until the next day. The story was that they “didn’t assign” a maintenance check to ensure safety to fly earlier in the day. (11.30am departure the following day when initially scheduled for 10.25pm departure) makes no sense, American is terrible. Take your money elsewhere."
868,✅ Trip Verified |  American Airlines kept delaying my flight. What was the purpose of paying extra to change for a early flight when it still got delayed. My main issue was the female gate agent having an attitude when asked to be assisted on a flight that was leaving sooner and wasn’t full.
